220kVIV母_5,220kVIV母_6,220kVIV母_7,220kVIV母_8,220kV龙嵩I回_13,220kV龙嵩I回_14,220kV龙嵩I回_15,220kV龙嵩I回_16
-83.85662078857422,50.38789367675781,32.76158905029297,-0.29208800196647644,-0.0526529997587204,0.3507770001888275,0.020603999495506287,0.3232710063457489
-84.36751556396484,49.84439468383789,38.19559097290039,5.083725929260254,-0.047474998980760574,0.3438650071620941,0.020603999495506287,0.31718799471855164
-84.6012191772461,41.24622344970703,42.5264892578125,-0.560483992099762,-0.050064001232385635,0.3214010000228882,0.021462000906467438,0.29372501373291016
-84.72078704833984,42.41474914550781,47.44969177246094,8.233431816101074,-0.04833799973130226,0.28943300247192383,0.030042000114917755,0.264178991317749
-83.87836456298828,32.849151611328125,51.04156494140625,0.33153799176216125,-0.0457490012049675,0.24796099960803986,0.0274679996073246,0.23550200462341309
-83.18268585205078,32.56109619140625,55.94846725463867,9.354379653930664,-0.0457490012049675,0.2056249976158142,0.0266100000590086,0.18944500386714935
-81.64457702636719,25.033620834350586,59.52947235107422,4.5390400886535645,-0.03970799967646599,0.14600899815559387,0.025752000510692596,0.1320910006761551
-80.25321960449219,21.555219650268555,64.01252746582031,9.906959533691406,-0.03970799967646599,0.0907130017876625,0.02317800000309944,0.08342699706554413
-78.93251037597656,16.636545181274414,66.66431427001953,6.946710109710693,-0.037119001150131226,0.038008999079465866,0.030042000114917755,0.035631999373435974
-76.50306701660156,8.462305068969727,70.28336334228516,4.767965793609619,-0.034529998898506165,0.0034489999525249004,0.03175799921154976,0.004348000045865774
-74.94322204589844,4.489319801330566,73.0873031616211,4.018035888671875,-0.025036999955773354,-0.012966999784111977,0.03175799921154976,-0.0052109998650848866
-71.72570037841797,-5.896965026855469,75.96732330322266,-2.044555902481079,-0.025036999955773354,-0.012102999724447727,0.03347399830818176,-0.0052109998650848866
-69.52996063232422,-6.7937397956848145,77.95073699951172,2.376084089279175,-0.025036999955773354,-0.012966999784111977,0.030899999663233757,-0.0052109998650848866
-65.44284057617188,-15.826709747314453,79.16795349121094,-3.4260060787200928,-0.025036999955773354,-0.007782999891787767,0.030899999663233757,-0.007818000391125679
-62.61664581298828,-17.190895080566406,81.05355072021484,1.9734899997711182,-0.025036999955773354,-0.013830999843776226,0.03347399830818176,-0.007818000391125679
-58.21429443359375,-25.365135192871094,82.24903106689453,-2.502408027648926,-0.02331100031733513,-0.01728699915111065,0.03690600022673607,-0.010425000451505184
-54.58371353149414,-28.25111961364746,83.60752868652344,1.4998500347137451,-0.01640699990093708,-0.019879000261425972,0.03175799921154976,-0.01129399985074997
-49.61612319946289,-34.06657028198242,83.73794555664062,-0.3473460078239441,-0.021585000678896904,-0.031975001096725464,0.03175799921154976,-0.009556000120937824
-45.001808166503906,-39.03416061401367,84.56391143798828,1.318287968635559,-0.020721999928355217,-0.04061499983072281,0.035190001130104065,-0.013900999911129475
-40.67011260986328,-42.63756561279297,84.6617202758789,1.8313980102539062,-0.01640699990093708,-0.039751000702381134,0.03690600022673607,-0.01998399943113327
-35.80035400390625,-49.1052131652832,84.39545440673828,-0.3947100043296814,-0.01640699990093708,-0.04493499919772148,0.03261600062251091,-0.02867400087416172
-31.27843475341797,-50.75202178955078,83.61839294433594,2.3287200927734375,-0.012954999692738056,-0.061351001262664795,0.03347399830818176,-0.03475699946284294
-25.495594024658203,-57.52402877807617,82.6511459350586,-0.49733200669288635,-0.006051000207662582,-0.06999099999666214,0.03175799921154976,-0.04692300036549568
