500kV红宁乙线_5,500kV红宁乙线_6,500kV红宁乙线_7,500kV红宁乙线_8,500kV红宁乙线_29,500kV红宁乙线_30,500kV红宁乙线_31,500kV红宁乙线_32
-79.5169677734375,73.17008972167969,6.800845146179199,0.21008700132369995,-0.20587000250816345,0.263824999332428,0.025085000321269035,0.025949999690055847
-81.9257583618164,69.96805572509766,12.26861572265625,0.0,-0.21278999745845795,0.25344499945640564,0.042385000735521317,0.02249000035226345
-83.85819244384766,66.45176696777344,17.693035125732422,-0.10893400013446808,-0.22316999733448029,0.24652500450611115,0.0631449967622757,0.02249000035226345
-85.3792495727539,62.51830291748047,22.992816925048828,-0.2645539939403534,-0.22663000226020813,0.2361450046300888,0.07698500156402588,0.02249000035226345
-86.54304504394531,58.23808288574219,28.384721755981445,-0.3968310058116913,-0.23354999721050262,0.21884499490261078,0.09428499639034271,0.02249000035226345
-87.46866607666016,53.816993713378906,33.74411392211914,-0.33458301424980164,-0.23354999721050262,0.20846499502658844,0.1081250011920929,0.02249000035226345
-88.14529418945312,49.36881637573242,38.84339141845703,-0.3034589886665344,-0.2404700070619583,0.19462500512599945,0.13234500586986542,0.02249000035226345
-88.44300842285156,44.70933532714844,43.8559684753418,-0.31123998761177063,-0.2473900020122528,0.17732499539852142,0.1461849957704544,0.025949999690055847
-88.36180877685547,39.88189697265625,48.65178298950195,-0.2801159918308258,-0.2473900020122528,0.16694499552249908,0.16694499552249908,0.025949999690055847
-87.89088439941406,34.77272415161133,53.154972076416016,-0.599137008190155,-0.2473900020122528,0.1531050056219101,0.18078500032424927,0.025949999690055847
-88.16152954101562,29.083824157714844,56.818214416503906,-1.0193109512329102,-0.21971000730991364,0.08390499651432037,0.8866249918937683,0.6868100166320801
-90.45123291015625,17.9498348236084,50.445472717285156,-36.8196907043457,-0.22663000226020813,0.10466500371694565,0.9627450108528137,0.7802299857139587
-92.85459899902344,10.028717994689941,43.57959747314453,-70.20796203613281,-0.23354999721050262,0.10466500371694565,0.941985011100769,0.742169976234436
-90.40251159667969,5.548031806945801,43.35200119018555,-71.3128662109375,-0.2819899916648865,0.09774500131607056,1.0942250490188599,0.8528900146484375
-88.16694641113281,0.7964460253715515,48.017757415771484,-69.23533630371094,-0.10553000122308731,0.07698500156402588,1.2395449876785278,1.1573699712753296
-85.13566589355469,-4.724495887756348,50.91692352294922,-67.11890411376953,-0.22316999733448029,0.05968499928712845,1.3571850061416626,1.1366100311279297
-79.9391860961914,-4.659480094909668,55.40927505493164,-50.98111343383789,-0.10206999629735947,0.018164999783039093,1.5163450241088867,1.3684300184249878
-71.73848724365234,-8.825922012329102,59.571067810058594,-36.84303665161133,-0.12283000349998474,0.025085000321269035,1.6409050226211548,1.4791500568389893
-67.28900146484375,-11.827493667602539,62.50274658203125,-28.883071899414062,-0.10206999629735947,0.014705000445246696,1.8346649408340454,1.690209984779358
-62.56886672973633,-17.326763153076172,63.998390197753906,-27.295747756958008,-0.1124500036239624,-0.006054999772459269,2.0353450775146484,1.8424500226974487
-59.2236328125,-25.740917205810547,64.69744110107422,-35.8548469543457,-0.046709999442100525,0.0008650000090710819,2.2118051052093506,2.105410099029541
-57.52936553955078,-30.0753173828125,61.04503631591797,-45.83787155151367,-0.029410000890493393,-0.030275000259280205,2.4401650428771973,2.3130099773406982
-53.61576461791992,-36.593170166015625,58.63357925415039,-54.84048843383789,-0.0674699991941452,-0.08909499645233154,2.668524980545044,2.4479498863220215
-48.3597412109375,-41.4693717956543,55.810279846191406,-59.454620361328125,0.029410000890493393,-0.10985500365495682,2.8242249488830566,2.683229923248291
-45.16065979003906,-47.4616813659668,55.49597930908203,-64.6134262084961,0.04324999824166298,-0.05449499934911728,2.986845016479492,2.9185099601745605
-39.98583221435547,-51.88276672363281,53.572235107421875,-66.62091827392578,0.10553000122308731,-0.09947499632835388,3.1875250339508057,3.1295700073242188
-33.89620590209961,-56.72645950317383,53.61558532714844,-64.42668151855469,0.10898999869823456,-0.06833499670028687,3.32592511177063,3.3094899654388428
-28.10429573059082,-59.5004768371582,54.41217803955078,-57.260379791259766,0.15397000312805176,-0.10639499872922897,3.4885449409484863,3.482490062713623
-20.86170196533203,-61.10420227050781,53.23625564575195,-49.502723693847656,0.16780999302864075,-0.10639499872922897,3.682305097579956,3.6831700801849365
-15.957524299621582,-65.69325256347656,54.769832611083984,-46.24248123168945,0.17473000288009644,-0.1375350058078766,3.8518450260162354,3.8354101181030273
-10.739392280578613,-69.1716079711914,52.05491256713867,-47.82980728149414,0.25084999203681946,-0.1375350058078766,4.01100492477417,4.067230224609375
-5.017850875854492,-73.4355697631836,51.317928314208984,-46.693782806396484,0.23701000213623047,-0.17213499546051025,4.166705131530762,4.177949905395508
-0.8714929819107056,-76.32878112792969,49.13949203491211,-48.343353271484375,0.2854500114917755,-0.17213499546051025,4.31202507019043,4.361330032348633
4.503615856170654,-78.21424865722656,46.01814651489258,-47.681968688964844,0.2785300016403198,-0.1375350058078766,4.436584949493408,4.523950099945068
10.945085525512695,-80.6631851196289,42.333229064941406,-47.28513717651367,0.3304300010204315,-0.16175499558448792,4.536924839019775,4.645050048828125
15.995414733886719,-82.15313720703125,39.466575622558594,-45.76784133911133,0.34773001074790955,-0.1236950010061264,4.585364818572998,4.755770206451416
21.3488712310791,-83.06877899169922,38.82171630859375,-39.39520263671875,0.3892500102519989,-0.17213499546051025,4.664945125579834,4.818049907684326
28.125947952270508,-83.52930450439453,37.1038932800293,-31.738698959350586,0.4169299900531769,-0.14099499583244324,4.7203049659729,4.939149856567383
34.724395751953125,-84.11986541748047,34.8658447265625,-24.78248405456543,0.4100100100040436,-0.17213499546051025,4.772204875946045,4.949530124664307
39.801788330078125,-84.62915802001953,32.589866638183594,-20.689678192138672,0.4653699994087219,-0.14445500075817108,4.803345203399658,5.0637102127075195
44.79257583618164,-85.64774322509766,31.999195098876953,-15.180730819702148,0.4549899995326996,-0.14445500075817108,4.817184925079346,5.067170143127441
