1-220kVⅠ母电压Ua_1,2-220kVⅠ母电压Ub_2,3-220kVⅠ母电压Uc_3,4-220kVⅠ母电压3Uo_4,9-砚马Ⅰ回265电流Ia_9,10-砚马Ⅰ回265电流Ib_10,11-砚马Ⅰ回265电流Ic_11,12-砚马Ⅰ回265电流3Io_12
72.81988525390625,-75.32540130615234,2.6937477588653564,0.2852254807949066,0.25486716628074646,-0.25440868735313416,0.014364073053002357,0.017946820706129074
75.39449310302734,-72.50505828857422,-2.7254388332366943,0.34860894083976746,0.2656362056732178,-0.24007581174373627,-0.007182036526501179,0.014357456006109715
77.87373352050781,-69.52626037597656,-8.112934112548828,0.47537583112716675,0.2728155553340912,-0.22574293613433838,-0.02154610864818096,0.017946820706129074
80.09870147705078,-66.19889068603516,-13.468738555908203,0.7922930121421814,0.2764052450656891,-0.2114100456237793,-0.03950120136141777,0.017946820706129074
81.91045379638672,-62.618003845214844,-18.666088104248047,1.1725937128067017,0.2835845947265625,-0.20066037774085999,-0.05745629221200943,0.02153618447482586
83.37257385253906,-58.75191116333008,-23.92681884765625,1.2993605136871338,0.2871742844581604,-0.18991072475910187,-0.07541137933731079,0.02153618447482586
84.67576599121094,-54.72737503051758,-29.250930786132812,1.2993605136871338,0.2871742844581604,-0.17557783424854279,-0.09336647391319275,0.017946820706129074
85.40682983398438,-50.22749710083008,-34.575042724609375,1.1092102527618408,0.2907639443874359,-0.1612449437379837,-0.11132156103849411,0.02153618447482586
86.1061019897461,-45.759307861328125,-39.74070358276367,0.9824433326721191,0.2871742844581604,-0.14332884550094604,-0.12209461629390717,0.014357456006109715
86.45574188232422,-41.35449981689453,-44.589447021484375,0.9824433326721191,0.2907639443874359,-0.1254127323627472,-0.14364072680473328,0.014357456006109715
86.39216613769531,-36.63279724121094,-49.31142807006836,0.760601282119751,0.2907639443874359,-0.10749663412570953,-0.15800480544567108,0.017946820706129074
85.88360595703125,-31.847719192504883,-53.71649932861328,0.5387592315673828,0.2871742844581604,-0.09316375106573105,-0.17595988512039185,0.017946820706129074
84.73934173583984,-26.71405601501465,-57.7095832824707,0.5070675611495972,0.2835845947265625,-0.07524764537811279,-0.19032396376132965,0.014357456006109715
83.30900573730469,-21.738840103149414,-61.35406494140625,0.44368410110473633,0.2835845947265625,-0.05374831706285477,-0.20468804240226746,0.014357456006109715
81.71974182128906,-16.731935501098633,-64.7450180053711,0.44368410110473633,0.2764052450656891,-0.03583221137523651,-0.21905210614204407,0.014357456006109715
79.6537094116211,-11.534894943237305,-67.8824462890625,0.4119923710823059,0.2656362056732178,-0.017916105687618256,-0.22623415291309357,0.014357456006109715
77.1744613647461,-6.242786884307861,-70.6712646484375,0.47537583112716675,0.25845685601234436,0.003583220997825265,-0.23700720071792603,0.014357456006109715
74.37736511230469,-0.697163999080658,-73.42839050292969,0.47537583112716675,0.24768781661987305,0.017916105687618256,-0.24059821665287018,0.014357456006109715
