1-220kV Ⅰ段母线电压Ua_1,2-220kV Ⅰ段母线电压Ub_2,3-220kV Ⅰ段母线电压Uc_3,4-220kV Ⅰ段母线电压3Uo_4,9-220kV江汉Ⅰ回281断路器Ia_9,10-220kV江汉Ⅰ回281断路器Ib_10,11-220kV江汉Ⅰ回281断路器Ic_11,12-220kV江汉Ⅰ回281断路器3Io_12
-78.32378387451172,-11.999961853027344,12.056535720825195,-135.50131225585938,-0.05532631650567055,-0.08299104869365692,0.6088131070137024,0.4633578956127167
-72.98139953613281,-8.968721389770508,35.295040130615234,-81.48199462890625,-0.06915789842605591,-0.0899069681763649,0.6226497888565063,0.4633578956127167
-62.92145919799805,-2.6874914169311523,40.13639450073242,-45.08378601074219,-0.05532631650567055,-0.10373880714178085,0.6434047818183899,0.47718948125839233
-54.42362594604492,-0.8749972581863403,34.42047119140625,-36.460693359375,-0.08298947662115097,-0.12448656558990479,0.7125880718231201,0.5048526525497437
-50.7995491027832,-3.3124895095825195,36.66936111450195,-30.524503707885742,-0.09682105481624603,-0.13140249252319336,0.7471797466278076,0.5186842083930969
-58.61005783081055,-14.249955177307129,39.26182556152344,-58.143402099609375,-0.09682105481624603,-0.13140249252319336,0.7817714214324951,0.5532631874084473
-57.860252380371094,-18.343692779541016,37.325286865234375,-67.54756927490234,-0.10373684763908386,-0.13831840455532074,0.8509547114372253,0.6016737222671509
-51.018245697021484,-12.218710899353027,50.28762435913086,-22.30756950378418,-0.10373684763908386,-0.13140249252319336,0.8855463862419128,0.6500841975212097
-50.768306732177734,-16.68744659423828,40.105159759521484,-47.58323287963867,-0.08298947662115097,-0.11757064610719681,0.8855463862419128,0.6915789842605591
-50.45588684082031,-24.718671798706055,22.613813400268555,-91.63600158691406,-0.07607368379831314,-0.12448656558990479,0.9270563721656799,0.7261579036712646
-52.14295959472656,-28.249910354614258,30.64109230041504,-86.32466888427734,-0.09682105481624603,-0.1521502584218979,1.0031579732894897,0.7469052672386169
-50.612098693847656,-28.874908447265625,33.20232391357422,-80.638427734375,-0.12448421120643616,-0.15906617045402527,1.0308313369750977,0.7399894595146179
-42.17675018310547,-27.62491226196289,37.2628173828125,-56.76870346069336,-0.12448421120643616,-0.16598209738731384,1.0446679592132568,0.7469052672386169
-40.86458206176758,-30.781152725219727,36.66936111450195,-60.61160659790039,-0.131400004029274,-0.15906617045402527,1.1138513088226318,0.8160631656646729
-42.707862854003906,-39.312374114990234,33.76454544067383,-83.88771057128906,-0.10373684763908386,-0.1521502584218979,1.127687931060791,0.8575578927993774
-42.83283233642578,-45.968605041503906,38.13738250732422,-88.07428741455078,-0.10373684763908386,-0.1521502584218979,1.127687931060791,0.8575578927993774
-36.490699768066406,-41.6248664855957,39.44923400878906,-67.51632690429688,-0.1106526330113411,-0.1521502584218979,1.2037895917892456,0.9336315989494324
-28.805156707763672,-39.437374114990234,46.32083511352539,-38.02284622192383,-0.1106526330113411,-0.1521502584218979,1.2452995777130127,0.9682105183601379
-24.118852615356445,-42.4998664855957,46.508243560791016,-34.8048095703125,-0.131400004029274,-0.17289800941944122,1.2729729413986206,0.9543789625167847
-27.61795997619629,-46.43735122680664,31.421955108642578,-74.38980865478516,-0.13831579685211182,-0.1798139363527298,1.3144829273223877,0.988957941532135
-29.05509376525879,-49.03109359741211,28.579612731933594,-86.32466888427734,-0.13831579685211182,-0.1798139363527298,1.3559929132461548,1.0235368013381958
-20.650985717773438,-47.46860122680664,31.265783309936523,-64.14207458496094,-0.12448421120643616,-0.17289800941944122,1.369829535484314,1.06503164768219
-13.059170722961426,-43.49986267089844,30.17257308959961,-45.77113342285156,-0.13831579685211182,-0.1798139363527298,1.4044212102890015,1.0788631439208984
-5.811018466949463,-42.1248664855957,36.075904846191406,-20.65168571472168,-0.14523157477378845,-0.19364577531814575,1.4459311962127686,1.0996105670928955
-5.248661994934082,-48.374847412109375,41.29207229614258,-21.588979721069336,-0.15214736759662628,-0.20056168735027313,1.4736045598983765,1.1065263748168945
-9.872483253479004,-53.53108215332031,37.637630462646484,-44.95881271362305,-0.1590631604194641,-0.2074776142835617,1.5081961154937744,1.127273678779602
-7.185668468475342,-53.21858215332031,36.388248443603516,-41.86574935913086,-0.16597895324230194,-0.21439354121685028,1.5497061014175415,1.1549369096755981
1.1871973276138306,-54.21857833862305,37.10664367675781,-27.618896484375,-0.16597895324230194,-0.22130945324897766,1.584297776222229,1.1826000213623047
-1.4683756828308105,-61.56230545043945,33.42096710205078,-51.551109313964844,-0.16597895324230194,-0.22130945324897766,1.6188894510269165,1.2102631330490112
0.2811783254146576,-61.71855545043945,30.82849884033203,-53.33196258544922,-0.1798105239868164,-0.22822538018226624,1.6465628147125244,1.2171789407730103
3.124203681945801,-63.93729782104492,32.51516342163086,-49.332847595214844,-0.18672631680965424,-0.22822538018226624,1.6742360591888428,1.2379263639450073
2.155700445175171,-67.31228637695312,32.04664611816406,-57.581024169921875,-0.1798105239868164,-0.22822538018226624,1.694991111755371,1.2655894756317139
7.029458045959473,-65.24979400634766,26.45566177368164,-55.30027770996094,-0.1798105239868164,-0.23514129221439362,1.7157460451126099,1.286336898803711
10.747260093688965,-68.8435287475586,27.767513275146484,-52.769588470458984,-0.18672631680965424,-0.24897313117980957,1.7295827865600586,1.279421091079712
9.310126304626465,-70.8747787475586,30.85973358154297,-53.55066680908203,-0.19364210963249207,-0.25588905811309814,1.764174461364746,1.29325270652771
13.309106826782227,-68.49978637695312,32.577632904052734,-39.33505630493164,-0.19364210963249207,-0.24897313117980957,1.798766016960144,1.3347474336624146
21.400794982910156,-68.9372787475586,39.51170349121094,-13.715719223022461,-0.2005579024553299,-0.25588905811309814,1.8195210695266724,1.348578929901123
21.27582550048828,-73.24977111816406,39.667877197265625,-21.464006423950195,-0.20747369527816772,-0.2628049850463867,1.8402760028839111,1.355494737625122
19.057641983032227,-76.156005859375,30.64109230041504,-46.146053314208984,-0.20747369527816772,-0.2628049850463867,1.867949366569519,1.3831579685211182
19.963661193847656,-79.40599822998047,27.517637252807617,-55.58146667480469,-0.20747369527816772,-0.2628049850463867,1.895622730255127,1.4108210802078247
20.526018142700195,-81.56224060058594,25.737268447875977,-61.455169677734375,-0.2005579024553299,-0.25588905811309814,1.9094593524932861,1.4315685033798218
26.86815071105957,-78.062255859375,25.48739242553711,-44.70886993408203,-0.2005579024553299,-0.2628049850463867,1.9232959747314453,1.4384841918945312
33.80388259887695,-77.124755859375,26.330724716186523,-29.58721160888672,-0.2005579024553299,-0.2628049850463867,1.9440510272979736,1.4592316150665283
31.5856990814209,-80.21849822998047,25.54986000061035,-40.20986557006836,-0.2005579024553299,-0.2628049850463867,1.9509693384170532,1.4730632305145264
32.210540771484375,-79.46849822998047,22.42640495300293,-43.20920181274414,-0.20747369527816772,-0.2628049850463867,1.9648059606552124,1.4799789190292358
37.677894592285156,-77.843505859375,22.832454681396484,-30.024614334106445,-0.21438947319984436,-0.2628049850463867,1.9855610132217407,1.4868947267532349
41.89556884765625,-78.156005859375,25.987144470214844,-17.6523494720459,-0.21438947319984436,-0.2766368091106415,2.0063159465789795,1.4938105344772339
46.363182067871094,-75.999755859375,28.236032485961914,-2.187016725540161,-0.21438947319984436,-0.2766368091106415,2.0132343769073486,1.500726342201233
51.361907958984375,-73.46852111816406,24.487886428833008,4.217817783355713,-0.2213052660226822,-0.2766368091106415,2.027070999145508,1.507642149925232
47.769073486328125,-78.56224822998047,20.833444595336914,-17.464889526367188,-0.21438947319984436,-0.2766368091106415,2.033989429473877,1.52147376537323
47.9252815246582,-78.96849822998047,16.991594314575195,-24.369613647460938,-0.2213052660226822,-0.2766368091106415,2.040907621383667,1.5283894538879395
52.767799377441406,-78.062255859375,13.52455997467041,-20.40174102783203,-0.20747369527816772,-0.2766368091106415,2.033989429473877,1.5283894538879395
52.86152648925781,-79.93724822998047,15.211225509643555,-20.526714324951172,-0.21438947319984436,-0.2766368091106415,2.040907621383667,1.52147376537323
