17-110kV母线Ⅱ段电压Ua_17,18-110kV母线Ⅱ段电压Ub_18,19-110kV母线Ⅱ段电压Uc_19,20-110kV母线Ⅱ段电压3Uo_20,5-110kV普八线路电流Ia_5,6-110kV普八线路电流Ib_6,7-110kV普八线路电流Ic_7,8-110kV普八线路电流3Io_8
54.789512634277344,-81.55683135986328,25.699039459228516,-1.7090544700622559,-1.1996512413024902,3.5990312099456787,-0.9874327182769775,1.4821962118148804
58.249568939208984,-80.25926208496094,20.666837692260742,-2.2154409885406494,-0.9879481196403503,3.5284619331359863,-0.7405745387077332,1.7645193338394165
61.4556770324707,-78.80345916748047,15.602988243103027,-2.880073308944702,-0.7762449383735657,3.457892656326294,-0.5289818048477173,2.1527135372161865
64.24911499023438,-76.84127807617188,10.57078742980957,-3.3548104763031006,-0.42340633273124695,3.316754102706909,-0.2821236252784729,2.576198101043701
67.01081085205078,-74.6575698852539,5.538586139678955,-3.576354742050171,-0.10585158318281174,3.1403310298919678,-0.03526545315980911,2.9643924236297607
69.45507049560547,-71.9041976928711,0.37978875637054443,-3.4814071655273438,0.21170316636562347,3.0344772338867188,0.17632727324962616,3.4231674671173096
71.70886993408203,-68.64445495605469,-4.937253952026367,-3.1016173362731934,0.5292579531669617,2.893338680267334,0.42318543791770935,3.846652030944824
73.89918518066406,-65.16317749023438,-10.317594528198242,-2.563581705093384,0.7762449383735657,2.7522003650665283,0.6700435876846313,4.19955587387085
75.96251678466797,-61.58695983886719,-15.697935104370117,-2.1837918758392334,1.1290836334228516,2.575777292251587,0.9169017672538757,4.587750434875488
77.67667388916016,-57.72590637207031,-20.98332977294922,-1.6774052381515503,1.3760706186294556,2.434638738632202,1.1284945011138916,4.975944519042969
79.16862487792969,-53.86485290527344,-26.17377471923828,-1.329264521598816,1.6583415269851685,2.222930908203125,1.3400871753692627,5.222977161407471
80.27965545654297,-50.06709671020508,-31.016082763671875,-1.2343170642852783,1.9053285121917725,2.011223316192627,1.5164145231246948,5.505300045013428
81.26370239257812,-46.2060432434082,-35.85839080810547,-1.2976154088974,2.1875994205474854,1.8348002433776855,1.6927417516708374,5.6817522048950195
81.99381256103516,-42.12345504760742,-40.60574722290039,-1.2343170642852783,2.364018678665161,1.623092532157898,1.86906898021698,5.858203887939453
82.27950286865234,-37.787681579589844,-45.09991455078125,-1.0760712623596191,2.5051541328430176,1.4113848209381104,2.0806617736816406,5.99936580657959
82.15252685546875,-33.0721321105957,-49.43583679199219,-0.5696848034858704,2.646289587020874,1.1996769905090332,2.2922544479370117,6.0699462890625
81.58113861083984,-28.166696548461914,-53.45526885986328,0.0,2.6815733909606934,0.9526847004890442,2.4685816764831543,6.105237007141113
80.78755187988281,-23.00807762145996,-57.569644927978516,0.41143903136253357,2.752141237258911,0.7056924104690552,2.6801743507385254,6.105237007141113
