漫昆I回电压_A相_17,漫昆I回电压_B相_18,漫昆I回电压_C相_19,漫昆I回电压_3U0_20,漫昆I回线_A相_29,漫昆I回线_B相_30,漫昆I回线_C相_31,漫昆I回线_3I0_32
-51.482826232910156,10.24470043182373,60.64094543457031,33.07316207885742,-0.43570297956466675,-0.011350021697580814,-0.01708586886525154,0.4379146993160248
-46.895870208740234,-11.242156028747559,73.50354766845703,26.01942253112793,-0.9680183529853821,-0.07377514243125916,-0.08732777088880539,1.0938388109207153
-39.2823600769043,-32.70823287963867,82.53849029541016,18.560832977294922,-1.3753058910369873,-0.27050885558128357,-0.0968199223279953,1.7099525928497314
-26.275510787963867,-52.324859619140625,86.31428527832031,13.079781532287598,-1.623467206954956,-0.27996721863746643,-0.15756967663764954,2.041706085205078
-12.55653190612793,-67.86853790283203,81.2729721069336,1.385833978652954,-1.6727205514907837,-0.4180591404438019,-0.13858537375926971,2.2104265689849854
2.6704883575439453,-79.4639663696289,71.58452606201172,-8.922279357910156,-1.5439040660858154,-0.37833404541015625,-0.13858537375926971,2.041706085205078
17.40530014038086,-83.72393035888672,58.05805206298828,-14.341046333312988,-1.2313345670700073,-0.4237341582775116,-0.07973404973745346,1.727014183998108
30.05608558654785,-83.74471282958984,41.04622268676758,-21.861921310424805,-0.784265398979187,-0.3234756290912628,-0.07783561944961548,1.1753554344177246
41.92143249511719,-77.874267578125,20.393447875976562,-26.860265731811523,-0.23300637304782867,-0.27240052819252014,-0.009492148645222187,0.5061611533164978
50.20518112182617,-66.11260223388672,-1.3588716983795166,-29.865501403808594,0.39402705430984497,-0.12295857071876526,0.02278115786612034,-0.3033175468444824
55.88127899169922,-50.423458099365234,-22.945222854614258,-30.23921012878418,1.0400041341781616,-0.03026672452688217,0.07403875887393951,-1.1033174991607666
56.970420837402344,-31.326339721679688,-43.70172882080078,-31.111194610595703,1.6973472833633423,0.113500215113163,0.13099165260791779,-1.963981032371521
53.96480941772461,-10.161579132080078,-61.31519317626953,-30.176925659179688,2.313014507293701,0.24402546882629395,0.1841476857662201,-2.7658767700195312
47.81745147705078,12.520145416259766,-74.18817138671875,-23.77717399597168,2.8150200843811035,0.351850688457489,0.26388174295425415,-3.454028367996216
38.45503234863281,33.47710418701172,-82.48662567138672,-17.82898712158203,3.1787374019622803,0.4729175865650177,0.27717074751853943,-3.9677724838256836
26.893388748168945,52.241737365722656,-84.60272979736328,-9.124704360961914,3.3852226734161377,0.5258843302726746,0.32842835783958435,-4.276777267456055
13.394331932067871,67.49449920654297,-81.11737823486328,-0.34256571531295776,3.4098494052886963,0.6034428477287292,0.30754563212394714,-4.356398105621338
